,artist_name,track_name,track_id,popularity
0,SZA,Good Days,3YJJjQPAbDT7mGpX3WtQ9A,92
1,Ema Spatula,Year 2020,6s0QJ4tfTOkkkOMQz8HCrg,29
2,The Weeknd,Blinding Lights,0VjIjW4GlUZAMYd2vXMi3b,95
3,Hammock,Dark Beyond the Blue - 2020,79hqdNpnWPVVxmZiDfKaIL,39
4,The Weeknd,Save Your Tears,5QO79kh1waicV47BqGRL3g,94
5,Hammock,Longest Year - 2020,51TAp7p7B3xboCl5HWmEkF,34
6,CJ,Whoopty,5vGLcdRuSbUhD8ScwsGSdA,93
7,Armin van Buuren,A State Of Trance (ASOT 996) - A State Of Trance Tune Of The Year 2020,6BMhvxuuCm1QAxYVrFuPZU,20
8,24kGoldn,Mood (feat. iann dior),3tjFYV6RSFtuktYl3ZtYcq,94
9,The Rolling Stones,100 Years Ago - 2020,0RJplx8HMNZsBYmvjCsnO4,36
10,The Kid LAROI,WITHOUT YOU,27OeeYzk6klgBh83TSvGMA,93
11,FUZZZY,Smile Year 2020 Pick up Line,2Uj2Vz9s4vcGSmiiiqWADs,18
12,Ariana Grande,34+35,6Im9k8u9iIzKMrmV7BWtlF,92
13,Hammock,One Another - 2020,7opImrwNkmetyUJq3cGTfc,33
14,Ariana Grande,positions,35mvY5S1H3J2QZyna3TFe0,93
15,Armin van Buuren,"A State Of Trance (ASOT 995) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 1",3BhzJoBiQ227D912eRPhuQ,22
16,Pop Smoke,For The Night (feat. Lil Baby & DaBaby),0PvFJmanyNQMseIFrU708S,89
17,Hammock,"Lonely, Some Quietly Wander in the Hall of Stars - 2020",6BcrKXMK65zFJg7nqTAz0f,33
18,Pop Smoke,What You Know Bout Love,1tkg4EHVoqnhR6iFEXb60y,91
19,Armin van Buuren,"A State Of Trance (ASOT 995) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 2",1bJG34rBXF6dtTMpgQyAPE,22
20,Billie Eilish,Therefore I Am,54bFM56PmE4YLRnqpW6Tha,91
21,Hammock,Cruel Sparks - 2020,6cdsSC7BN7taFurOlOu2xI,32
22,Drake,Laugh Now Cry Later (feat. Lil Durk),2SAqBLGA283SUiwJ3xOUVI,87
23,Armin van Buuren,"A State Of Trance (ASOT 995) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 3",44b9NSmpDxEHDV3PBca9T1,22
24,Cardi B,WAP (feat. Megan Thee Stallion),4Oun2ylbjFKMPTiaSbbCih,89
25,ALPHA 9,Everywhere I Go (Mixed),0Qbl6El7iRVHhL8Hnr9gIS,42
26,Juice WRLD,Wishing Well,2U5WueTLIK5WJLD7mvDODv,87
27,Armin van Buuren,"A State Of Trance (ASOT 995) - Tune Of The Year 2020 Special Episode, Pt. 1",0E6JG0zasoAzGWM6uf53mr,20
28,Dua Lipa,Levitating (feat. DaBaby),463CkQjx2Zk1yXoBuierM9,89
29,Johann Strauss II,"An der schönen blauen Donau, Walzer, Op. 314",5431KRbZtVF3tVgMR1lIYS,40
30,Tate McRae,you broke me first,45bE4HXI0AwGZXfZtMp8JR,91
31,Armin van Buuren,"A State Of Trance (ASOT 994) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 1",3tGDk2LUBujuY52fvT8vax,20
32,Megan Thee Stallion,Body,0A1hoCfMLkiAgvhWkkucJa,85
33,The Glitch Mob,Animus Vox - 2020 Remaster,3L1iZJUXiAcUvDhIIi3KAq,30
34,Machine Gun Kelly,my ex's best friend (with blackbear),7kDUspsoYfLkWnZR7qwHZl,86
35,Armin van Buuren,"A State Of Trance (ASOT 994) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 2",53ajwl5PS1BgR0UJZYdrtf,20
36,DaBaby,ROCKSTAR (feat. Roddy Ricch),7ytR5pFWmSjzHJIeQkgog4,89
37,Jai Wolf,Indian Summer - 2020 Encore Mix,4Baa1yEJu3DXUosUZKVmcw,26
38,Bad Bunny,DÁKITI,47EiUVwUp4C9fGccaPuUCS,93
39,Armin van Buuren,"A State Of Trance (ASOT 994) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 3",0hxNCO70HfA25Vi3fv7J7f,20
40,Conan Gray,Heather,4xqrdfXkTW4T0RauPLv3WA,89
41,Above & Beyond,Diving Out Of Love (Mixed),2a7WAcMrobuByUvHwCAFDV,41
42,Lil Nas X,HOLIDAY,6zFMeegAMYQo0mt8rXtrli,89
43,Armin van Buuren,"A State Of Trance (ASOT 993) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 1",4m9wZAb0wtNjjSCosCLVCd,17
44,Polo G,Martin & Gina,1VLtjHwRWOVJiE5Py7JxoQ,84
45,Maor Levi,One Love (Mixed),7zvzNcr3ZbTEaIBzwybD30,41
46,Pop Smoke,Hello (feat. A Boogie Wit da Hoodie),2r6OAV3WsYtXuXjvJ1lIDi,86
47,Armin van Buuren,"A State Of Trance (ASOT 993) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 2",6mmttSQV7qJX80VGgFCOzV,17
48,Lil Baby,On Me,4Iedi94TIaB2GGb1nMB68v,82
49,David Gray,This Year's Love - 2020 Remaster,2raGOq0p2PXrWJnWXSBFaC,32
50,Internet Money,Lemonade,02kDW379Yfd5PzW5A6vuGt,88
51,Armin van Buuren,"A State Of Trance (ASOT 995) - Tune Of The Year 2020 Special Episode, Pt. 2",57sf9Qm0AXh2AA72tQbwjm,19
52,Megan Thee Stallion,Cry Baby (feat. DaBaby),4aarlAfLKVCTxUDNgbwhjH,82
53,i_o,In My Head (Part II) [Mixed],25WmdbWnEBMpHwOR9Kgt0x,41
54,Juice WRLD,Come & Go (with Marshmello),2Y0wPrPQBrGhoLn14xRYCG,84
55,Year 200X,Ducktales (the Moon),1xQvPFljQXA3GCK869ERvC,21
56,AJR,Bang!,53BHUFdQphHiZUUG3nx9zn,78
57,The Glitch Mob,Between Two Points (feat. Swan) - 2020 Remaster,0sfly5zhJJhfoLbcCMmiRB,30
58,Taylor Swift,willow,0lx2cLdOt3piJbcaXIV74f,86
59,Year 200X,Zelda II (Title - Battle - Fairy - Palace),4gpjBYc0lAkhYnmnfMeq4g,18
60,Jack Harlow,Tyler Herro,4DuUwzP4ALMqpquHU0ltAB,82
61,Elysian,Beyond The Comfort Zone (Mixed),5LvfgyTDNtQG0vJaClqnku,42
62,Jack Harlow,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",2MbdDtCv5LUVjYy9RuGTgC,83
63,Year 200X,Ghosts N Goblins,2pZDhsmGRSkRgWNfkDr70S,19
64,21 Savage,Runnin,5SWnsxjhdcEDc7LJjq9UHk,82
65,Assaf,Lost At Sea (Mixed),2Ognsk10gP8d9FLq0P4Yfv,42
66,Ritt Momney,Put Your Records On,6AGOKlMZWLCaEJGnaROtF9,86
67,Year 200X,Castlevania III (the Beginning),7GlixhQpXo76vgALqoJ3L5,17
68,Justin Bieber,Holy (feat. Chance The Rapper),5u1n1kITHCxxp8twBcZxWy,88
69,Armin van Buuren,Illusion (Mixed),3rDk8lYqrRpnU1PsgVZ7I0,42
70,Justin Bieber,Lonely (with benny blanco),4y4spB9m0Q6026KfkAvy9Q,89
71,Stray Hollows,This Year 2020,49Iq8iqliYEAJSWV4bRsix,0
72,Powfu,death bed (coffee for your head),7eJMfftS33KTjuF7lTsMCx,87
73,Gareth Emery,Welcome To Your Life (Mixed) - Jeremy Vancaulart Remix,3SbAyi5iuMgv3OItVwwH22,41
74,Brent Faiyaz,Dead Man Walking,5VlTQnZO89Ioku8ssdbqJk,82
75,Mu6ix,Uninstall The Year 2020,0Lx9lSCfAJ3G2vXs9f0uqw,0
76,Pooh Shiesty,Back In Blood (feat. Lil Durk),7JuHVG3qQKQKxC4doneXVW,79
77,The Glitch Mob,Bad Wings - 2020 Remaster,6kM8GtByUt4KYN9MqGpCis,28
78,Bad Bunny,LA NOCHE DE ANOCHE,2XIc1pqjXV3Cr2BQUGNBck,92
79,Mulimisi Uncle Jim,Year 2020,2jJUf9wPwOKvbgiZCRkthd,0
80,CORPSE,E-GIRLS ARE RUINING MY LIFE!,7bCfHiRcfUjG0YVVNUL7Ve,83
81,Luke Bond,Walk Away (Mixed),5BXE7i3fePaWhb2AqyczFJ,41
82,Juice WRLD,Reminds Me Of You,5YSHygGN9D0mID1NsVd5my,83
83,The Glitch Mob,Fortune Days - 2020 Remaster,5GWHujc41JAjaiH6gcCjgu,28
84,DaBaby,PRACTICE,4Z5FyQlevoHoa5FsIVKZju,80
85,Gareth Emery,Yesterday (Mixed),5i4RJyVoid4zsJvx5fuuRL,42
86,Future,Drankin N Smokin,0k7wmahjkn389wAZdz19Cv,81
87,Steve Brian,Jupiter Boulevard (Mixed) - Taylor Torrence Remix,5cYN3eCrVvWlhZqs9NRPUD,41
88,blackbear,hot girl bummer,2mt1IqcFyY1zmYZT8Q3xw9,84
89,Super8 & Tab,Live For Tonight (Mixed),0csXeqgGVCYvWp6RTSjdRP,41
90,DJ Khaled,POPSTAR (feat. Drake),6EDO9iiTtwNv6waLwa1UUq,85
91,Above & Beyond,Blue Monday (Mixed),0xXps70H7LUN5So6Nrkfvq,41
92,Luke Combs,Forever After All,6IBcOGPsniK3Pso1wHIhew,79
93,Sleepy Fish,Backyard Puddles,3qM0FihhHgdzhIWAxavBJV,32
94,Chris Brown,Go Crazy,1IIKrJVP1C9N7iPtG6eOsK,83
95,Solarstone,Seven Cities (Mixed) - Tom Staar Remix,264t4HJzvQkMhSYb9y9j2m,41
96,DDG,Moonwalking in Calabasas (feat. Blueface) - Remix,7o4gBbTM6UBLkOYPw9xMCz,81
97,Above & Beyond,Reverie (Mixed) - Above & Beyond Club Mix,480kTu57MGkhmbncAKyaYi,40
98,Shawn Mendes,Monster (Shawn Mendes & Justin Bieber),2Z8yfpFX0ZMavHkcIeHiO1,88
99,Elysian,Water (Mixed),01IV32KUgfMLJisLLqBNAF,41
100,Internet Money,"Lemonade (feat. Gunna, Don Toliver & NAV)",7hxHWCCAIIxFLCzvDgnQHX,86
101,Omnia,Generation (Mixed),4ZRqvqByjnjabaHC4P1CJ8,40
102,BTS,Dynamite,4saklk6nie3yiGePpBwUoc,90
103,Armin van Buuren,All On Me (Mixed),5JMp6MjsUcYz4Mp2avWIhA,41
104,Polo G,21,3JKgcAa7r07ocVWcV8bS0H,81
105,Armin van Buuren,Punisher (Mixed),2PDMMyWwfYK6sKNyNjV9I7,41
106,Pop Smoke,Mood Swings (feat. Lil Tjay),5rZlwNFl01HqLWBQGryKSm,85
107,Chilled Cat,Winter Night on New Years Eve,639pj50r7i2uFzZ4BJhk4y,29
108,21 Savage,Mr. Right Now (feat. Drake),4Q34FP1AT7GEl9oLgNtiWj,80
109,BT,No Warning Lights (Mixed) - ALPHA 9 Remix,4AZM3eVkKsLJ0Oi0XdtWQI,40
110,The Kid LAROI,GO (feat. Juice WRLD),2rPHUAeUPbNgTmK18FPTiZ,81
111,Armin van Buuren,The Voice (Mixed),0avB9GZipXo1OaxKMsmWqH,42
112,Juice WRLD,Righteous,5dOxHHMOFAbG3VH23t0xNm,81
113,3LAU,Tokyo (Mixed) - Fatum Remix,2p5JsppxcUKlsVX6UkycAt,41
114,MEDUZA,Paradise (feat. Dermot Kennedy),6ft4hAq6yde8jPZY2i5zLr,90
115,Alex Sonata & TheRio,Awakening (Mixed),6S7tShkCrPrXu8NfPzmWCZ,41
116,KAROL G,BICHOTA,7vrJn5hDSXRmdXoR30KgF1,93
117,Genix,Zuul (Mixed),07ygt0S6ZmrCkTkeryuZMo,41
118,Kid Cudi,Tequila Shots,30KctD1WsHKTIYczXjip5a,80
119,Scorz,Come To Life (Mixed),4xZLHEwMJHI7EmTUaIfFYI,41
120,Don Toliver,After Party,527k23H0A4Q0UJN3vGs0Da,82
121,Maryn,Dawn (Mixed),5PDi4cEm6L1fAadHXPcLNF,41
